species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,39,19,181,3750,MALE
Adelie,Torgersen,40,17,186,3800,FEMALE
Adelie,Torgersen,40,18,195,3250,FEMALE
Adelie,Torgersen,,,,,
Adelie,Torgersen,37,19,193,3450,FEMALE
Adelie,Torgersen,39,21,190,3650,MALE
Adelie,Torgersen,39,18,181,3625,FEMALE
Adelie,Torgersen,39,20,195,4675,MALE
Adelie,Torgersen,34,18,193,3475,
Adelie,Torgersen,42,20,190,4250,
Adelie,Torgersen,38,17,186,3300,
Adelie,Torgersen,38,17,180,3700,
Adelie,Torgersen,41,18,182,3200,FEMALE
Adelie,Torgersen,39,21,191,3800,MALE
Adelie,Torgersen,35,21,198,4400,MALE
Adelie,Torgersen,37,18,185,3700,FEMALE
Adelie,Torgersen,39,19,195,3450,FEMALE
Adelie,Torgersen,43,21,197,4500,MALE
Adelie,Torgersen,34,18,184,3325,FEMALE
Adelie,Torgersen,46,22,194,4200,MALE
Adelie,Biscoe,38,18,174,3400,FEMALE
Adelie,Biscoe,38,19,180,3600,MALE
Adelie,Biscoe,36,19,189,3800,FEMALE
Adelie,Biscoe,38,18,185,3950,MALE
Adelie,Biscoe,39,17,180,3800,MALE
Adelie,Biscoe,35,19,187,3800,FEMALE
Adelie,Biscoe,41,19,183,3550,MALE
Adelie,Biscoe,41,18,187,3200,FEMALE
Adelie,Biscoe,38,19,172,3150,FEMALE
Adelie,Biscoe,41,19,180,3950,MALE
Adelie,Dream,40,17,178,3250,FEMALE
Adelie,Dream,37,18,178,3900,MALE
Adelie,Dream,40,18,188,3300,FEMALE
Adelie,Dream,41,19,184,3900,MALE
Adelie,Dream,36,17,195,3325,FEMALE
Adelie,Dream,39,21,196,4150,MALE
Adelie,Dream,39,20,190,3950,MALE
Adelie,Dream,42,19,180,3550,FEMALE
Adelie,Dream,38,19,181,3300,FEMALE
Adelie,Dream,40,19,184,4650,MALE
Adelie,Dream,37,18,182,3150,FEMALE
Adelie,Dream,41,18,195,3900,MALE
Adelie,Dream,36,19,186,3100,FEMALE
Adelie,Dream,44,20,196,4400,MALE
Adelie,Dream,37,17,185,3000,FEMALE
Adelie,Dream,40,19,190,4600,MALE
Adelie,Dream,41,19,182,3425,MALE
Adelie,Dream,38,19,179,2975,
Adelie,Dream,36,18,190,3450,FEMALE
Adelie,Dream,42,21,191,4150,MALE
Adelie,Biscoe,40,18,186,3500,FEMALE
Adelie,Biscoe,40,19,188,4300,MALE
Adelie,Biscoe,35,18,190,3450,FEMALE
Adelie,Biscoe,42,20,200,4050,MALE
Adelie,Biscoe,35,18,187,2900,FEMALE
Adelie,Biscoe,41,19,191,3700,MALE
Adelie,Biscoe,39,18,186,3550,FEMALE
Adelie,Biscoe,41,19,193,3800,MALE
Adelie,Biscoe,37,17,181,2850,FEMALE
Adelie,Biscoe,38,19,194,3750,MALE
Adelie,Biscoe,36,17,185,3150,FEMALE
Adelie,Biscoe,41,21,195,4400,MALE
Adelie,Biscoe,38,17,185,3600,FEMALE
Adelie,Biscoe,41,18,192,4050,MALE
Adelie,Biscoe,36,17,184,2850,FEMALE
Adelie,Biscoe,42,18,192,3950,MALE
Adelie,Biscoe,36,16,195,3350,FEMALE
Adelie,Biscoe,41,19,188,4100,MALE
Adelie,Torgersen,36,17,190,3050,FEMALE
Adelie,Torgersen,42,19,198,4450,MALE
Adelie,Torgersen,34,19,190,3600,FEMALE
Adelie,Torgersen,40,18,190,3900,MALE
Adelie,Torgersen,40,17,196,3550,FEMALE
Adelie,Torgersen,46,19,197,4150,MALE
Adelie,Torgersen,36,18,190,3700,FEMALE
Adelie,Torgersen,43,19,195,4250,MALE
Adelie,Torgersen,41,17,191,3700,FEMALE
Adelie,Torgersen,37,19,184,3900,MALE
Adelie,Torgersen,36,16,187,3550,FEMALE
Adelie,Torgersen,42,19,195,4000,MALE
Adelie,Torgersen,35,17,189,3200,FEMALE
Adelie,Torgersen,43,18,196,4700,MALE
Adelie,Torgersen,37,19,187,3800,FEMALE
Adelie,Torgersen,35,19,193,4200,MALE
Adelie,Dream,37,18,191,3350,FEMALE
Adelie,Dream,41,20,194,3550,MALE
Adelie,Dream,36,20,190,3800,MALE
Adelie,Dream,37,19,189,3500,FEMALE
Adelie,Dream,38,19,189,3950,MALE
Adelie,Dream,39,19,190,3600,FEMALE
Adelie,Dream,36,18,202,3550,FEMALE
Adelie,Dream,41,18,205,4300,MALE
Adelie,Dream,34,17,185,3400,FEMALE
Adelie,Dream,40,18,186,4450,MALE
Adelie,Dream,36,17,187,3300,FEMALE
Adelie,Dream,41,19,208,4300,MALE
Adelie,Dream,38,19,190,3700,FEMALE
Adelie,Dream,40,19,196,4350,MALE
Adelie,Dream,33,16,178,2900,FEMALE
Adelie,Dream,43,19,192,4100,MALE
Adelie,Biscoe,35,18,192,3725,FEMALE
Adelie,Biscoe,41,20,203,4725,MALE
Adelie,Biscoe,38,16,183,3075,FEMALE
Adelie,Biscoe,38,20,190,4250,MALE
Adelie,Biscoe,38,19,193,2925,FEMALE
Adelie,Biscoe,40,19,184,3550,MALE
Adelie,Biscoe,39,17,199,3750,FEMALE
Adelie,Biscoe,38,20,190,3900,MALE
Adelie,Biscoe,38,17,181,3175,FEMALE
Adelie,Biscoe,43,19,197,4775,MALE
Adelie,Biscoe,38,17,198,3825,FEMALE
Adelie,Biscoe,46,20,191,4600,MALE
Adelie,Biscoe,40,18,193,3200,FEMALE
Adelie,Biscoe,42,20,197,4275,MALE
Adelie,Biscoe,40,21,191,3900,FEMALE
Adelie,Biscoe,43,18,196,4075,MALE
Adelie,Torgersen,39,17,188,2900,FEMALE
Adelie,Torgersen,37,21,199,3775,MALE
Adelie,Torgersen,36,17,189,3350,FEMALE
Adelie,Torgersen,41,19,189,3325,MALE
Adelie,Torgersen,36,17,187,3150,FEMALE
Adelie,Torgersen,38,20,198,3500,MALE
Adelie,Torgersen,40,17,176,3450,FEMALE
Adelie,Torgersen,41,19,202,3875,MALE
Adelie,Torgersen,35,16,186,3050,FEMALE
Adelie,Torgersen,41,19,199,4000,MALE
Adelie,Torgersen,39,18,191,3275,FEMALE
Adelie,Torgersen,42,18,195,4300,MALE
Adelie,Torgersen,39,17,191,3050,FEMALE
Adelie,Torgersen,44,18,210,4000,MALE
Adelie,Torgersen,39,18,190,3325,FEMALE
Adelie,Torgersen,43,19,197,3500,MALE
Adelie,Dream,37,19,193,3500,FEMALE
Adelie,Dream,38,19,199,4475,MALE
Adelie,Dream,38,18,187,3425,FEMALE
Adelie,Dream,41,18,190,3900,MALE
Adelie,Dream,36,18,191,3175,FEMALE
Adelie,Dream,40,20,200,3975,MALE
Adelie,Dream,37,17,185,3400,FEMALE
Adelie,Dream,40,18,193,4250,MALE
Adelie,Dream,40,17,193,3400,FEMALE
Adelie,Dream,41,17,187,3475,MALE
Adelie,Dream,32,16,188,3050,FEMALE
Adelie,Dream,41,17,190,3725,MALE
Adelie,Dream,37,17,192,3000,FEMALE
Adelie,Dream,39,19,185,3650,MALE
Adelie,Dream,39,19,190,4250,MALE
Adelie,Dream,37,18,184,3475,FEMALE
Adelie,Dream,36,18,195,3450,FEMALE
Adelie,Dream,38,18,193,3750,MALE
Adelie,Dream,36,17,187,3700,FEMALE
Adelie,Dream,42,19,201,4000,MALE
Chinstrap,Dream,47,18,192,3500,FEMALE
Chinstrap,Dream,50,20,196,3900,MALE
Chinstrap,Dream,51,19,193,3650,MALE
Chinstrap,Dream,45,19,188,3525,FEMALE
Chinstrap,Dream,53,20,197,3725,MALE
Chinstrap,Dream,45,18,198,3950,FEMALE
Chinstrap,Dream,46,18,178,3250,FEMALE
Chinstrap,Dream,51,18,197,3750,MALE
Chinstrap,Dream,46,19,195,4150,FEMALE
Chinstrap,Dream,51,20,198,3700,MALE
Chinstrap,Dream,47,18,193,3800,FEMALE
Chinstrap,Dream,52,20,194,3775,MALE
Chinstrap,Dream,47,17,185,3700,FEMALE
Chinstrap,Dream,52,18,201,4050,MALE
Chinstrap,Dream,46,17,190,3575,FEMALE
Chinstrap,Dream,51,20,201,4050,MALE
Chinstrap,Dream,50,20,197,3300,MALE
Chinstrap,Dream,58,18,181,3700,FEMALE
Chinstrap,Dream,46,19,190,3450,FEMALE
Chinstrap,Dream,49,18,195,4400,MALE
Chinstrap,Dream,42,17,181,3600,FEMALE
Chinstrap,Dream,49,18,191,3400,MALE
Chinstrap,Dream,43,17,187,2900,FEMALE
Chinstrap,Dream,51,19,193,3800,MALE
Chinstrap,Dream,47,18,195,3300,FEMALE
Chinstrap,Dream,52,19,197,4150,MALE
Chinstrap,Dream,51,18,200,3400,FEMALE
Chinstrap,Dream,50,19,200,3800,MALE
Chinstrap,Dream,46,18,191,3700,FEMALE
Chinstrap,Dream,53,20,205,4550,MALE
Chinstrap,Dream,41,17,187,3200,FEMALE
Chinstrap,Dream,54,21,201,4300,MALE
Chinstrap,Dream,43,17,187,3350,FEMALE
Chinstrap,Dream,51,19,203,4100,MALE
Chinstrap,Dream,50,19,195,3600,MALE
Chinstrap,Dream,48,17,199,3900,FEMALE
Chinstrap,Dream,48,18,195,3850,FEMALE
Chinstrap,Dream,52,21,210,4800,MALE
Chinstrap,Dream,47,17,192,2700,FEMALE
Chinstrap,Dream,54,20,205,4500,MALE
Chinstrap,Dream,49,20,210,3950,MALE
Chinstrap,Dream,46,18,187,3650,FEMALE
Chinstrap,Dream,51,19,196,3550,MALE
Chinstrap,Dream,46,17,196,3500,FEMALE
Chinstrap,Dream,51,18,196,3675,FEMALE
Chinstrap,Dream,51,19,201,4450,MALE
Chinstrap,Dream,50,18,190,3400,FEMALE
Chinstrap,Dream,49,20,212,4300,MALE
Chinstrap,Dream,52,19,187,3250,MALE
Chinstrap,Dream,50,17,198,3675,FEMALE
Chinstrap,Dream,48,16,199,3325,FEMALE
Chinstrap,Dream,51,19,201,3950,MALE
Chinstrap,Dream,46,17,193,3600,FEMALE
Chinstrap,Dream,51,20,203,4050,MALE
Chinstrap,Dream,43,17,187,3350,FEMALE
Chinstrap,Dream,52,19,197,3450,MALE
Chinstrap,Dream,45,17,191,3250,FEMALE
Chinstrap,Dream,49,20,203,4050,MALE
Chinstrap,Dream,50,19,202,3800,MALE
Chinstrap,Dream,46,19,194,3525,FEMALE
Chinstrap,Dream,52,20,206,3950,MALE
Chinstrap,Dream,47,17,189,3650,FEMALE
Chinstrap,Dream,46,17,195,3650,FEMALE
Chinstrap,Dream,56,20,207,4000,MALE
Chinstrap,Dream,44,18,202,3400,FEMALE
Chinstrap,Dream,50,18,193,3775,MALE
Chinstrap,Dream,51,19,210,4100,MALE
Chinstrap,Dream,50,19,198,3775,FEMALE
Gentoo,Biscoe,46,13,211,4500,FEMALE
Gentoo,Biscoe,50,16,230,5700,MALE
Gentoo,Biscoe,49,14,210,4450,FEMALE
Gentoo,Biscoe,50,15,218,5700,MALE
Gentoo,Biscoe,48,15,215,5400,MALE
Gentoo,Biscoe,47,14,210,4550,FEMALE
Gentoo,Biscoe,45,15,211,4800,FEMALE
Gentoo,Biscoe,47,15,219,5200,MALE
Gentoo,Biscoe,43,13,209,4400,FEMALE
Gentoo,Biscoe,47,15,215,5150,MALE
Gentoo,Biscoe,41,14,214,4650,FEMALE
Gentoo,Biscoe,49,16,216,5550,MALE
Gentoo,Biscoe,46,14,214,4650,FEMALE
Gentoo,Biscoe,48,15,213,5850,MALE
Gentoo,Biscoe,46,15,210,4200,FEMALE
Gentoo,Biscoe,49,16,217,5850,MALE
Gentoo,Biscoe,42,14,210,4150,FEMALE
Gentoo,Biscoe,49,15,221,6300,MALE
Gentoo,Biscoe,46,15,209,4800,FEMALE
Gentoo,Biscoe,49,15,222,5350,MALE
Gentoo,Biscoe,50,14,218,5700,MALE
Gentoo,Biscoe,45,15,215,5000,FEMALE
Gentoo,Biscoe,47,15,213,4400,FEMALE
Gentoo,Biscoe,46,16,215,5050,MALE
Gentoo,Biscoe,43,13,215,5000,FEMALE
Gentoo,Biscoe,46,15,215,5100,MALE
Gentoo,Biscoe,45,14,216,4100,
Gentoo,Biscoe,48,15,215,5650,MALE
Gentoo,Biscoe,48,14,210,4600,FEMALE
Gentoo,Biscoe,50,15,220,5550,MALE
Gentoo,Biscoe,47,15,222,5250,MALE
Gentoo,Biscoe,43,14,209,4700,FEMALE
Gentoo,Biscoe,45,15,207,5050,FEMALE
Gentoo,Biscoe,60,17,230,6050,MALE
Gentoo,Biscoe,49,15,220,5150,FEMALE
Gentoo,Biscoe,48,16,220,5400,MALE
Gentoo,Biscoe,43,14,213,4950,FEMALE
Gentoo,Biscoe,44,17,219,5250,MALE
Gentoo,Biscoe,44,14,208,4350,FEMALE
Gentoo,Biscoe,49,16,208,5350,MALE
Gentoo,Biscoe,43,14,208,3950,FEMALE
Gentoo,Biscoe,50,16,225,5700,MALE
Gentoo,Biscoe,45,14,210,4300,FEMALE
Gentoo,Biscoe,50,15,216,4750,MALE
Gentoo,Biscoe,51,16,222,5550,MALE
Gentoo,Biscoe,44,14,217,4900,FEMALE
Gentoo,Biscoe,46,14,210,4200,FEMALE
Gentoo,Biscoe,51,16,225,5400,MALE
Gentoo,Biscoe,45,13,213,5100,FEMALE
Gentoo,Biscoe,45,16,215,5300,MALE
Gentoo,Biscoe,47,14,210,4850,FEMALE
Gentoo,Biscoe,49,14,220,5300,MALE
Gentoo,Biscoe,45,14,210,4400,FEMALE
Gentoo,Biscoe,50,15,225,5000,MALE
Gentoo,Biscoe,47,14,217,4900,FEMALE
Gentoo,Biscoe,45,15,220,5050,MALE
Gentoo,Biscoe,44,14,208,4300,FEMALE
Gentoo,Biscoe,46,15,220,5000,MALE
Gentoo,Biscoe,43,15,208,4450,FEMALE
Gentoo,Biscoe,50,15,224,5550,MALE
Gentoo,Biscoe,45,14,208,4200,FEMALE
Gentoo,Biscoe,46,15,221,5300,MALE
Gentoo,Biscoe,46,14,214,4400,FEMALE
Gentoo,Biscoe,54,16,231,5650,MALE
Gentoo,Biscoe,46,14,219,4700,FEMALE
Gentoo,Biscoe,50,17,230,5700,MALE
Gentoo,Biscoe,46,14,214,4650,
Gentoo,Biscoe,50,16,229,5800,MALE
Gentoo,Biscoe,44,14,220,4700,FEMALE
Gentoo,Biscoe,51,15,223,5550,MALE
Gentoo,Biscoe,48,15,216,4750,FEMALE
Gentoo,Biscoe,46,16,221,5000,MALE
Gentoo,Biscoe,48,16,221,5100,MALE
Gentoo,Biscoe,47,15,217,5200,FEMALE
Gentoo,Biscoe,46,15,216,4700,FEMALE
Gentoo,Biscoe,49,16,230,5800,MALE
Gentoo,Biscoe,48,14,209,4600,FEMALE
Gentoo,Biscoe,51,16,220,6000,MALE
Gentoo,Biscoe,45,14,215,4750,FEMALE
Gentoo,Biscoe,45,16,223,5950,MALE
Gentoo,Biscoe,49,15,212,4625,FEMALE
Gentoo,Biscoe,53,16,221,5450,MALE
Gentoo,Biscoe,47,15,212,4725,FEMALE
Gentoo,Biscoe,50,16,224,5350,MALE
Gentoo,Biscoe,45,14,212,4750,FEMALE
Gentoo,Biscoe,51,17,228,5600,MALE
Gentoo,Biscoe,43,14,218,4600,FEMALE
Gentoo,Biscoe,51,14,218,5300,MALE
Gentoo,Biscoe,48,14,212,4875,FEMALE
Gentoo,Biscoe,52,17,230,5550,MALE
Gentoo,Biscoe,48,15,218,4950,FEMALE
Gentoo,Biscoe,52,17,228,5400,MALE
Gentoo,Biscoe,46,15,212,4750,FEMALE
Gentoo,Biscoe,50,16,224,5650,MALE
Gentoo,Biscoe,45,15,214,4850,FEMALE
Gentoo,Biscoe,51,16,226,5200,MALE
Gentoo,Biscoe,49,16,216,4925,MALE
Gentoo,Biscoe,47,15,222,4875,FEMALE
Gentoo,Biscoe,48,14,203,4625,FEMALE
Gentoo,Biscoe,51,17,225,5250,MALE
Gentoo,Biscoe,49,15,219,4850,FEMALE
Gentoo,Biscoe,56,17,228,5600,MALE
Gentoo,Biscoe,47,16,215,4975,FEMALE
Gentoo,Biscoe,49,15,228,5500,MALE
Gentoo,Biscoe,47,14,216,4725,
Gentoo,Biscoe,47,16,215,5500,MALE
Gentoo,Biscoe,42,15,210,4700,FEMALE
Gentoo,Biscoe,53,16,219,5500,MALE
Gentoo,Biscoe,43,14,208,4575,FEMALE
Gentoo,Biscoe,48,15,209,5500,MALE
Gentoo,Biscoe,51,15,216,5000,FEMALE
Gentoo,Biscoe,50,16,229,5950,MALE
Gentoo,Biscoe,44,15,213,4650,FEMALE
Gentoo,Biscoe,52,16,230,5500,MALE
Gentoo,Biscoe,46,14,217,4375,FEMALE
Gentoo,Biscoe,55,16,230,5850,MALE
Gentoo,Biscoe,45,16,217,4875,
Gentoo,Biscoe,49,16,222,6000,MALE
Gentoo,Biscoe,47,14,214,4925,FEMALE
Gentoo,Biscoe,,,,,
Gentoo,Biscoe,47,14,215,4850,FEMALE
Gentoo,Biscoe,50,16,222,5750,MALE
Gentoo,Biscoe,45,15,212,5200,FEMALE
Gentoo,Biscoe,50,16,213,5400,MALE
